Ensembl,EntrezGene,ProbeSetID,WTaverage,KOaverage,FoldChange,StudentTTEST,GeneSymbol
ENSMUSG00000021743,54713,1418790_at,5475.49552,15.0369284,-364.136569274347,4.99124067659499e-10,Fezf2
ENSMUSG00000061808,22139,1455913_x_at,470.861736,76.1659128,-6.18205334499713,6.8176205718266e-6,Ttr
ENSMUSG00000019761,16661,1452166_a_at,2634.99942,455.280398,-5.78764082876241,4.34932810209339e-5,Krt10
ENSMUSG00000033061,19711,1417988_at,1301.86436,228.593092,-5.69511680606691,1.63407418372e-4,Resp18
ENSMUSG00000027528,21884,1417076_at,557.953238,101.3777588,-5.5037046054721,0.008483326347461,Fabp9
ENSMUSG00000032081,11814,1418278_at,579.065476,106.269366,-5.44903482345044,0.001211168530544,Apoc3
ENSMUSG00000044647,77771,1455516_at,79.8845548,15.6152262,-5.11581156602137,2.91556798191329e-6,Csrnp3
ENSMUSG00000038968,16615,1420490_at,861.811174,173.617424,-4.96385186546714,7.20835046558245e-6,Klk1b16
ENSMUSG00000036377,320827,1434645_at,161.634332,32.6010524,-4.95794829003741,7.57579263285259e-7,C530008M17Rik
ENSMUSG00000025037,17161,1428667_at,467.025808,99.4276868,-4.6971404347305,6.47263393416216e-6,Maoa
ENSMUSG00000027077,68678,1419145_at,655.895008,140.851018,-4.65665791638084,3.23578678546836e-8,Smtnl1
ENSMUSG00000028222,12307,1417504_at,529.365216,117.264844,-4.51427041509559,1.41289939250675e-9,Calb1
ENSMUSG00000052212,68891,1424509_at,118.025146,26.532264,-4.4483631702142,0.00130881126149,Cd177
ENSMUSG00000040413,171284,1418766_s_at,352.434336,81.7214474,-4.31262963656221,0.002429451346388,Timd2
ENSMUSG00000027513,18534,1423439_at,294.52051,70.48833,-4.17828752646005,5.56089027909892e-6,Pck1
ENSMUSG00000041923,319211,1456387_at,386.982354,95.5506362,-4.05002383437819,5.62606623858558e-6,Nol4
ENSMUSG00000041660,170442,1419618_at,290.686394,72.0042646,-4.03707190976574,1.97204779264e-4,Bbox1
ENSMUSG00000100157,69571,1430964_at,72.9214084,18.4144834,-3.96000293985983,2.21509018844131e-5,2310034O05Rik
ENSMUSG00000024173,100503895,1426175_a_at,90.9451578,23.3066072,-3.90211912954881,0.03207191106091,Tpsab1
ENSMUSG00000021604,50916,1419539_at,55.5556648,14.4013466,-3.85767153191077,0.001376382943579,Irx4
ENSMUSG00000031635,26359,1449426_a_at,677.669594,175.960606,-3.85125744565804,0.003900038739666,Anxa10
ENSMUSG00000025396,27400,1449385_at,239.177932,62.1443,-3.84875092325443,1.63396238825e-4,Hsd17b6
ENSMUSG00000036353,70839,1431724_a_at,83.4302608,21.826471,-3.82243473074507,2.52341377744499e-5,P2ry12
ENSMUSG00000020053,16000,1419519_at,482.922598,126.837164,-3.80742191618223,5.28433537533574e-6,Igf1
ENSMUSG00000067764,27084,1422933_at,113.923956,30.078924,-3.78750104225803,1.17477091323813e-5,Xlr5a///Xlr5b///Xlr5c
ENSMUSG00000058328,574438,1422933_at,113.923956,30.078924,-3.78750104225803,1.17477091323813e-5,Xlr5a///Xlr5b///Xlr5c
ENSMUSG00000072479,627081,1422933_at,113.923956,30.078924,-3.78750104225803,1.17477091323813e-5,Xlr5a///Xlr5b///Xlr5c
ENSMUSG00000037440,22361,1447845_s_at,107.7280632,28.861973,-3.73252595032225,4.03561396534502e-5,Vnn1
ENSMUSG00000047230,12738,1417231_at,183.554294,49.9884836,-3.67193162866817,8.1740595721206e-6,Cldn2
NA,100043207,1416055_at,68.6122638,18.8367158,-3.64247486284207,1.67914715206e-4,Amy2a1///Amy2a2///Amy2a3///Amy2a4///Amy2a5
ENSMUSG00000096770,100043684,1416055_at,68.6122638,18.8367158,-3.64247486284207,1.67914715206e-4,Amy2a1///Amy2a2///Amy2a3///Amy2a4///Amy2a5
ENSMUSG00000093931,100043686,1416055_at,68.6122638,18.8367158,-3.64247486284207,1.67914715206e-4,Amy2a1///Amy2a2///Amy2a3///Amy2a4///Amy2a5
ENSMUSG00000096569,100043688,1416055_at,68.6122638,18.8367158,-3.64247486284207,1.67914715206e-4,Amy2a1///Amy2a2///Amy2a3///Amy2a4///Amy2a5
ENSMUSG00000074268,109959,1416055_at,68.6122638,18.8367158,-3.64247486284207,1.67914715206e-4,Amy2a1///Amy2a2///Amy2a3///Amy2a4///Amy2a5
ENSMUSG00000040026,20210,1450826_a_at,5554.20986,1541.48554,-3.60315404580441,1.12601048507959e-6,Saa3
ENSMUSG00000110097,434555,1457033_at,119.38097,33.1908514,-3.59680348543274,0.001588632996445,Zscan4a
ENSMUSG00000020010,26464,1420723_at,349.138636,97.775099,-3.57083387867498,1.30238313919573e-7,Vnn3
ENSMUSG00000041261,12319,1427482_a_at,273.186128,78.1461012,-3.49583822871511,0.001639898948989,Car8
ENSMUSG00000031608,108150,1425581_s_at,119.481799,35.2501674,-3.38953848485837,2.23700552516e-4,Galnt7
ENSMUSG00000023057,14079,1418438_at,492.272172,145.81363,-3.37603673950096,6.16786177666478e-5,Fabp2
NA,56066,1419698_at,299.456164,88.8749152,-3.36941152997016,0.01265393740292,Cxcl11
ENSMUSG00000024731,69826,1432453_a_at,187.477715,56.072122,-3.34351025630883,0.001216227872374,Ms4a10
ENSMUSG00000026149,66261,1419388_at,53.5461274,16.060465399999998,-3.33403335870952,0.006267118270625,Tm4sf20
ENSMUSG00000038009,72778,1460468_s_at,85.8623272,25.8486954,-3.3217276876573,8.1496782659458e-9,Dnajc22
ENSMUSG00000039431,54384,1447831_s_at,217.69228,66.0615004,-3.29529724093278,9.1977576911375e-8,Mtmr7
ENSMUSG00000032487,19225,1417262_at,3729.25078,1139.943172,-3.27143569223467,1.59818144402259e-6,Ptgs2
ENSMUSG00000068762,14867,1422072_a_at,116.7810588,35.8548404,-3.25705141892083,1.10076522844824e-5,Gstm6
ENSMUSG00000020953,12810,1423285_at,567.952904,174.606748,-3.25275460717017,8.04205013688e-4,Coch
ENSMUSG00000042129,213391,1439622_at,467.645362,144.377016,-3.23905684544692,2.8847109037347e-6,Rassf4
ENSMUSG00000000982,20302,1419561_at,102.024989,32.2844306,-3.160191680754,0.004317998605745,Ccl3
ENSMUSG00000055730,102022,1449375_at,220.329198,69.855942,-3.15405091810229,7.86732605391e-4,Ces2a
ENSMUSG00000037390,666339,1427374_at,356.35348,113.4855012,-3.14007936019936,4.50449569790047e-5,Muc3
ENSMUSG00000024124,30943,1449952_s_at,158.379928,50.5472584,-3.13330402109405,1.76943626608e-4,Prss30
ENSMUSG00000005540,14128,1451713_a_at,83.6586516,26.7089674,-3.13223084768152,0.008926220131473,Fcer2a
ENSMUSG00000031596,11988,1436555_at,169.346462,54.619579,-3.10047175574165,1.41479156049044e-5,Slc7a2
ENSMUSG00000061825,234671,1424245_at,847.082448,274.001008,-3.09153040780054,2.78362905719e-4,Ces2c///Ces2d-ps
NA,667754,1424245_at,847.082448,274.001008,-3.09153040780054,2.78362905719e-4,Ces2c///Ces2d-ps
ENSMUSG00000032080,11808,1417761_at,1607.4581,527.074612,-3.0497733402496,8.35305200718899e-6,Apoa4
ENSMUSG00000060424,66297,1435678_at,184.645782,60.9322126,-3.03034756364649,1.48926128340476e-6,2610017I09Rik
NA,13647,1419090_x_at,761.60217,251.702072,-3.02580810697498,1.74649090622e-4,Egfbp2///Klk1b26
ENSMUSG00000053719,16618,1419090_x_at,761.60217,251.702072,-3.02580810697498,1.74649090622e-4,Egfbp2///Klk1b26
ENSMUSG00000045441,243385,1439566_at,99.567892,32.9306084,-3.02356673130886,0.002188066412247,Gprin3
ENSMUSG00000037482,71995,1460480_at,94.7896948,31.4155372,-3.01728708939601,4.19078085627009e-5,Erv3
ENSMUSG00000042453,19699,1449465_at,244.85674,81.5662852,-3.00193565760183,1.04992102794375e-5,Reln
ENSMUSG00000026042,12832,1450625_at,94.9691388,31.994422,-2.96830299981666,3.55394519347611e-9,Col5a2
ENSMUSG00000026175,22349,1448837_at,345.550664,116.754308,-2.9596395192544,6.45104675373194e-5,Vil1
ENSMUSG00000027360,15186,1451796_s_at,2495.58778,844.059474,-2.95664921356004,4.67578655323774e-5,Hdc
ENSMUSG00000056035,13112,1416809_at,90.661448,30.7872764,-2.94477000245465,1.96738442653e-4,Cyp3a11
NA,665521,1445849_at,158.727382,54.0105572,-2.9388214124922998,0.001335326799126,BC080696
NA,100503463,1457042_at,87.3397952,29.7646836,-2.93434314215253,2.9710274566468e-7,AI256396
ENSMUSG00000045215,211961,1435892_at,104.014934,35.5273924,-2.92773904791279,6.12426435401247e-5,Asxl3
ENSMUSG00000027217,241556,1429856_at,124.400268,42.5209844,-2.92562060251832,8.41987792409711e-5,Tspan18
ENSMUSG00000040505,27409,1419393_at,128.805869,44.2056994,-2.91378421217785,8.37138438022692e-5,Abcg5
ENSMUSG00000025370,12565,1427618_at,261.87483,89.9131952,-2.91252946152669,9.2821874754094e-6,Cdh9
ENSMUSG00000027875,15360,1423858_a_at,143.4244092,49.2743886,-2.91072935200255,0.007164993326531,Hmgcs2
ENSMUSG00000037664,12577,1417649_at,2148.25336,745.917628,-2.88001419910135,2.0601055990147e-6,Cdkn1c
ENSMUSG00000054162,72902,1449979_a_at,267.762866,93.622469,-2.8600278208856,1.60927267003235e-6,Spock3
ENSMUSG00000046834,16678,1422481_at,323.388874,113.3571412,-2.8528319484472,8.79000670762e-4,Krt1
ENSMUSG00000025064,12821,1418799_a_at,420.762484,147.689502,-2.84896677354901,3.83695848484647e-6,Col17a1
ENSMUSG00000054422,14080,1417556_at,391.118298,137.86806,-2.83690289106846,2.84398834294e-4,Fabp1
ENSMUSG00000007097,98660,1452308_a_at,177.046842,62.4599452,-2.83456607963851,0.003267975126505,Atp1a2
ENSMUSG00000096276,100039087,1427977_x_at,57.1679124,20.1893006,-2.83159449317427,0.017458952259731,Gm10436///Gm2042///Oog1
ENSMUSG00000066027,100039315,1427977_x_at,57.1679124,20.1893006,-2.83159449317427,0.017458952259731,Gm10436///Gm2042///Oog1
ENSMUSG00000096576,193322,1427977_x_at,57.1679124,20.1893006,-2.83159449317427,0.017458952259731,Gm10436///Gm2042///Oog1
ENSMUSG00000061517,223227,1451835_at,80.957136,28.6490502,-2.82582268643587,0.003257341047875,Sox21
ENSMUSG00000026824,16519,1455374_at,32.8529198,11.6319374,-2.82437212910035,0.001018889228516,Kcnj3
ENSMUSG00000030492,30962,1448783_at,47.366861,16.7772766,-2.8232747262449,1.54400531039e-4,Slc7a9
ENSMUSG00000021098,75801,1431393_at,48.01982,17.1829843,-2.7946146700489,0.020338556287496,4930447C04Rik
ENSMUSG00000035131,215378,1434993_at,35.0660052,12.6066852,-2.78154047980829,0.004690651533242,Fam5c
ENSMUSG00000048834,211739,1452065_at,37.4185062,13.5685366,-2.75774074265312,1.94962969309e-4,Vstm2a
NA,76963,1442077_at,178.26625,64.839717,-2.7493372619131,0.00128720656827,2310076G05Rik
ENSMUSG00000079519,236874,1449597_at,61.6294234,22.4383442,-2.74661190909087,0.002950013017831,Gm14743
ENSMUSG00000058715,14127,1418340_at,377.188116,137.84575,-2.73630573303856,1.06519856527437e-5,Fcer1g
ENSMUSG00000015340,13058,1436779_at,135.48668,49.693263,-2.72645972151195,1.32150772108e-4,Cybb
ENSMUSG00000002992,11813,1418069_at,1293.5463,480.789628,-2.69046215780678,3.85860620458713e-5,Apoc2
ENSMUSG00000094370,100036568,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000093985,100038847,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000090487,100040657,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000079410,100040671,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000071613,100040697,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000091756,100041012,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000091754,100041151,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
NA,100041262,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
NA,100041374,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000096629,100041515,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000096003,100041678,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000079364,100041874,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
NA,100042054,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000090691,100042100,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000092167,100042149,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000091472,100042235,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000079386,100169868,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000079396,100861615,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000096775,545007,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000095912,666329,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000031444,14058,1449305_at,169.63527,63.8939952,-2.65494855140941,5.51659275165175e-5,F10
ENSMUSG00000079110,12335,1426043_a_at,103.330948,38.9418444,-2.65346825739974,3.23603362985282e-5,Capn3
NA,100042103,1433865_at,23.5975,8.938077,-2.64010927630183,0.007651502046067,E330010L02Rik///E330016L19Rik///Gm3669
NA,414104,1433865_at,23.5975,8.938077,-2.64010927630183,0.007651502046067,E330010L02Rik///E330016L19Rik///Gm3669
NA,414119,1433865_at,23.5975,8.938077,-2.64010927630183,0.007651502046067,E330010L02Rik///E330016L19Rik///Gm3669
ENSMUSG00000027338,26434,1425681_a_at,67.023822,25.4941392,-2.6289894110251,1.1714966284e-4,Prnd
ENSMUSG00000053398,236539,1426657_s_at,826.744488,314.66266,-2.62739941243743,3.95560473970321e-5,Gm8096///Phgdh
ENSMUSG00000110372,666422,1426657_s_at,826.744488,314.66266,-2.62739941243743,3.95560473970321e-5,Gm8096///Phgdh
ENSMUSG00000029811,76507,1424600_at,1077.275066,410.61469,-2.62356679445638,4.40991267008672e-5,Abp1
ENSMUSG00000113095,666185,1435217_at,26.6486344,10.2223856,-2.60688996118479,0.0112606589422,Gm7969
ENSMUSG00000058427,20310,1449984_at,2599.34146,997.47265,-2.60592755099601,4.48913441144e-4,Cxcl2
ENSMUSG00000031289,16165,1422177_at,413.533888,159.54444,-2.59196677740697,7.39386312523804e-5,Il13ra2
ENSMUSG00000009551,70730,1447773_x_at,164.782202,63.6655088,-2.58824919655712,6.25327762182623e-6,6330409D20Rik
ENSMUSG00000046598,71911,1426959_at,75.0533602,29.0248792,-2.58582851225097,0.003608871072907,Bdh1
ENSMUSG00000001168,246729,1425049_at,77.0432738,29.801636,-2.58520283248879,2.26783381523e-4,Oas1h
ENSMUSG00000028001,14161,1424279_at,64.741937,25.3676284,-2.5521477995160202,5.52837315003e-4,Fga
ENSMUSG00000031886,234673,1427137_at,42.1403284,16.5496562,-2.546296303122,5.25432607801e-4,Ces2e
ENSMUSG00000054630,22238,1419622_at,33.379904,13.116663,-2.54484726793697,5.09882052417564e-6,Ugt2b5
ENSMUSG00000039137,73750,1436485_s_at,63.2581336,24.9189644,-2.5385538734507,0.005864340955237,Whrn
ENSMUSG00000078650,14377,1417880_at,73.9400472,29.2188916,-2.5305561967313,2.08960674832483e-5,G6pc
ENSMUSG00000041380,15560,1435513_at,33.3918802,13.2047974,-2.52876883972487,0.023179175583338,Htr2c
ENSMUSG00000032373,76459,1428485_at,130.397968,51.6253322,-2.52585237601628,1.4174203397e-4,Car12
ENSMUSG00000020838,15567,1417150_at,786.3261,311.328454,-2.52571228198756,0.016891792346253,Slc6a4
ENSMUSG00000028415,20731,1427119_at,391.486514,155.322538,-2.52047461392886,0.005809448106607,Spink4
ENSMUSG00000068587,232714,1456777_at,265.237086,105.2603844,-2.51981870968733,3.0357507830054e-5,Mgam
ENSMUSG00000080712,382522,1449482_at,109.0859506,43.2974508,-2.51945434625911,0.049983199558429,Hist3h2ba///Hist3h2bb-ps
